Onset Year-Week,Excluded Cases,Cases Pending Laboratory Confirmation,Number of Confirmed Cases
200901,4.00,0.00,0.00
200902,2.00,0.00,1.00
200903,7.00,0.00,2.00
200904,10.00,0.00,3.00
200905,6.00,0.00,3.00
200906,23.00,0.00,2.00
200907,17.00,0.00,3.00
200908,11.00,0.00,1.00
200909,6.00,0.00,0.00
200910,13.00,0.00,1.00
200911,0.00,0.00,0.00
200912,3.00,0.00,0.00
200913,1.00,0.00,2.00
200914,2.00,0.00,1.00
200915,0.00,0.00,0.00
200916,0.00,0.00,0.00
200917,3.00,0.00,0.00
200918,3.00,0.00,0.00
200919,2.00,0.00,0.00
200920,2.00,0.00,0.00
200921,2.00,0.00,0.00
200922,2.00,0.00,0.00
200923,0.00,0.00,0.00
200924,2.00,0.00,0.00
200925,4.00,0.00,0.00
200926,3.00,0.00,0.00
200927,5.00,0.00,1.00
200928,4.00,0.00,0.00
200929,10.00,0.00,3.00
200930,9.00,0.00,7.00
200931,21.00,0.00,12.00
200932,15.00,0.00,15.00
200933,13.00,0.00,22.00
200934,49.00,0.00,49.00
200935,63.00,0.00,128.00
200936,96.00,0.00,118.00
200937,94.00,0.00,83.00
200938,61.00,0.00,50.00
200939,69.00,0.00,27.00
200940,56.00,0.00,37.00
200941,63.00,0.00,30.00
200942,61.00,0.00,45.00
200943,65.00,0.00,61.00
200944,78.00,0.00,64.00
200945,64.00,0.00,57.00
200946,52.00,0.00,47.00
200947,76.00,0.00,76.00
200948,81.00,0.00,56.00
200949,59.00,0.00,41.00
200950,51.00,0.00,41.00
200951,50.00,0.00,10.00
200952,37.00,0.00,23.00
200953,51.00,0.00,15.00
201001,39.00,0.00,16.00
201002,47.00,0.00,7.00
201003,37.00,0.00,7.00
201004,29.00,0.00,10.00
201005,23.00,0.00,7.00
201006,16.00,0.00,5.00
201007,21.00,0.00,1.00
201008,21.00,0.00,1.00
201009,12.00,0.00,3.00
201010,10.00,0.00,1.00
201011,11.00,0.00,4.00
201012,8.00,0.00,2.00
201013,7.00,0.00,0.00
201014,4.00,0.00,4.00
