"","Series.id","Year","Period","Value"
"1","LNS14000000",1948,"M01",3.4
"2","LNS14000000",1948,"M02",3.8
"3","LNS14000000",1948,"M03",4
"4","LNS14000000",1948,"M04",3.9
"5","LNS14000000",1948,"M05",3.5
"6","LNS14000000",1948,"M06",3.6
"7","LNS14000000",1948,"M07",3.6
"8","LNS14000000",1948,"M08",3.9
"9","LNS14000000",1948,"M09",3.8
"10","LNS14000000",1948,"M10",3.7
"11","LNS14000000",1948,"M11",3.8
"12","LNS14000000",1948,"M12",4
"13","LNS14000000",1949,"M01",4.3
"14","LNS14000000",1949,"M02",4.7
"15","LNS14000000",1949,"M03",5
"16","LNS14000000",1949,"M04",5.3
"17","LNS14000000",1949,"M05",6.1
"18","LNS14000000",1949,"M06",6.2
"19","LNS14000000",1949,"M07",6.7
"20","LNS14000000",1949,"M08",6.8
"21","LNS14000000",1949,"M09",6.6
"22","LNS14000000",1949,"M10",7.9
"23","LNS14000000",1949,"M11",6.4
"24","LNS14000000",1949,"M12",6.6
"25","LNS14000000",1950,"M01",6.5
"26","LNS14000000",1950,"M02",6.4
"27","LNS14000000",1950,"M03",6.3
"28","LNS14000000",1950,"M04",5.8
"29","LNS14000000",1950,"M05",5.5
"30","LNS14000000",1950,"M06",5.4
"31","LNS14000000",1950,"M07",5
"32","LNS14000000",1950,"M08",4.5
"33","LNS14000000",1950,"M09",4.4
"34","LNS14000000",1950,"M10",4.2
"35","LNS14000000",1950,"M11",4.2
"36","LNS14000000",1950,"M12",4.3
"37","LNS14000000",1951,"M01",3.7
"38","LNS14000000",1951,"M02",3.4
"39","LNS14000000",1951,"M03",3.4
"40","LNS14000000",1951,"M04",3.1
"41","LNS14000000",1951,"M05",3
"42","LNS14000000",1951,"M06",3.2
"43","LNS14000000",1951,"M07",3.1
"44","LNS14000000",1951,"M08",3.1
"45","LNS14000000",1951,"M09",3.3
"46","LNS14000000",1951,"M10",3.5
"47","LNS14000000",1951,"M11",3.5
"48","LNS14000000",1951,"M12",3.1
"49","LNS14000000",1952,"M01",3.2
"50","LNS14000000",1952,"M02",3.1
"51","LNS14000000",1952,"M03",2.9
"52","LNS14000000",1952,"M04",2.9
"53","LNS14000000",1952,"M05",3
"54","LNS14000000",1952,"M06",3
"55","LNS14000000",1952,"M07",3.2
"56","LNS14000000",1952,"M08",3.4
"57","LNS14000000",1952,"M09",3.1
"58","LNS14000000",1952,"M10",3
"59","LNS14000000",1952,"M11",2.8
"60","LNS14000000",1952,"M12",2.7
"61","LNS14000000",1953,"M01",2.9
"62","LNS14000000",1953,"M02",2.6
"63","LNS14000000",1953,"M03",2.6
"64","LNS14000000",1953,"M04",2.7
"65","LNS14000000",1953,"M05",2.5
"66","LNS14000000",1953,"M06",2.5
"67","LNS14000000",1953,"M07",2.6
"68","LNS14000000",1953,"M08",2.7
"69","LNS14000000",1953,"M09",2.9
"70","LNS14000000",1953,"M10",3.1
"71","LNS14000000",1953,"M11",3.5
"72","LNS14000000",1953,"M12",4.5
"73","LNS14000000",1954,"M01",4.9
"74","LNS14000000",1954,"M02",5.2
"75","LNS14000000",1954,"M03",5.7
"76","LNS14000000",1954,"M04",5.9
"77","LNS14000000",1954,"M05",5.9
"78","LNS14000000",1954,"M06",5.6
"79","LNS14000000",1954,"M07",5.8
"80","LNS14000000",1954,"M08",6
"81","LNS14000000",1954,"M09",6.1
"82","LNS14000000",1954,"M10",5.7
"83","LNS14000000",1954,"M11",5.3
"84","LNS14000000",1954,"M12",5
"85","LNS14000000",1955,"M01",4.9
"86","LNS14000000",1955,"M02",4.7
"87","LNS14000000",1955,"M03",4.6
"88","LNS14000000",1955,"M04",4.7
"89","LNS14000000",1955,"M05",4.3
"90","LNS14000000",1955,"M06",4.2
"91","LNS14000000",1955,"M07",4
"92","LNS14000000",1955,"M08",4.2
"93","LNS14000000",1955,"M09",4.1
"94","LNS14000000",1955,"M10",4.3
"95","LNS14000000",1955,"M11",4.2
"96","LNS14000000",1955,"M12",4.2
"97","LNS14000000",1956,"M01",4
"98","LNS14000000",1956,"M02",3.9
"99","LNS14000000",1956,"M03",4.2
"100","LNS14000000",1956,"M04",4
"101","LNS14000000",1956,"M05",4.3
"102","LNS14000000",1956,"M06",4.3
"103","LNS14000000",1956,"M07",4.4
"104","LNS14000000",1956,"M08",4.1
"105","LNS14000000",1956,"M09",3.9
"106","LNS14000000",1956,"M10",3.9
"107","LNS14000000",1956,"M11",4.3
"108","LNS14000000",1956,"M12",4.2
"109","LNS14000000",1957,"M01",4.2
"110","LNS14000000",1957,"M02",3.9
"111","LNS14000000",1957,"M03",3.7
"112","LNS14000000",1957,"M04",3.9
"113","LNS14000000",1957,"M05",4.1
"114","LNS14000000",1957,"M06",4.3
"115","LNS14000000",1957,"M07",4.2
"116","LNS14000000",1957,"M08",4.1
"117","LNS14000000",1957,"M09",4.4
"118","LNS14000000",1957,"M10",4.5
"119","LNS14000000",1957,"M11",5.1
"120","LNS14000000",1957,"M12",5.2
"121","LNS14000000",1958,"M01",5.8
"122","LNS14000000",1958,"M02",6.4
"123","LNS14000000",1958,"M03",6.7
"124","LNS14000000",1958,"M04",7.4
"125","LNS14000000",1958,"M05",7.4
"126","LNS14000000",1958,"M06",7.3
"127","LNS14000000",1958,"M07",7.5
"128","LNS14000000",1958,"M08",7.4
"129","LNS14000000",1958,"M09",7.1
"130","LNS14000000",1958,"M10",6.7
"131","LNS14000000",1958,"M11",6.2
"132","LNS14000000",1958,"M12",6.2
"133","LNS14000000",1959,"M01",6
"134","LNS14000000",1959,"M02",5.9
"135","LNS14000000",1959,"M03",5.6
"136","LNS14000000",1959,"M04",5.2
"137","LNS14000000",1959,"M05",5.1
"138","LNS14000000",1959,"M06",5
"139","LNS14000000",1959,"M07",5.1
"140","LNS14000000",1959,"M08",5.2
"141","LNS14000000",1959,"M09",5.5
"142","LNS14000000",1959,"M10",5.7
"143","LNS14000000",1959,"M11",5.8
"144","LNS14000000",1959,"M12",5.3
"145","LNS14000000",1960,"M01",5.2
"146","LNS14000000",1960,"M02",4.8
"147","LNS14000000",1960,"M03",5.4
"148","LNS14000000",1960,"M04",5.2
"149","LNS14000000",1960,"M05",5.1
"150","LNS14000000",1960,"M06",5.4
"151","LNS14000000",1960,"M07",5.5
"152","LNS14000000",1960,"M08",5.6
"153","LNS14000000",1960,"M09",5.5
"154","LNS14000000",1960,"M10",6.1
"155","LNS14000000",1960,"M11",6.1
"156","LNS14000000",1960,"M12",6.6
"157","LNS14000000",1961,"M01",6.6
"158","LNS14000000",1961,"M02",6.9
"159","LNS14000000",1961,"M03",6.9
"160","LNS14000000",1961,"M04",7
"161","LNS14000000",1961,"M05",7.1
"162","LNS14000000",1961,"M06",6.9
"163","LNS14000000",1961,"M07",7
"164","LNS14000000",1961,"M08",6.6
"165","LNS14000000",1961,"M09",6.7
"166","LNS14000000",1961,"M10",6.5
"167","LNS14000000",1961,"M11",6.1
"168","LNS14000000",1961,"M12",6
"169","LNS14000000",1962,"M01",5.8
"170","LNS14000000",1962,"M02",5.5
"171","LNS14000000",1962,"M03",5.6
"172","LNS14000000",1962,"M04",5.6
"173","LNS14000000",1962,"M05",5.5
"174","LNS14000000",1962,"M06",5.5
"175","LNS14000000",1962,"M07",5.4
"176","LNS14000000",1962,"M08",5.7
"177","LNS14000000",1962,"M09",5.6
"178","LNS14000000",1962,"M10",5.4
"179","LNS14000000",1962,"M11",5.7
"180","LNS14000000",1962,"M12",5.5
"181","LNS14000000",1963,"M01",5.7
"182","LNS14000000",1963,"M02",5.9
"183","LNS14000000",1963,"M03",5.7
"184","LNS14000000",1963,"M04",5.7
"185","LNS14000000",1963,"M05",5.9
"186","LNS14000000",1963,"M06",5.6
"187","LNS14000000",1963,"M07",5.6
"188","LNS14000000",1963,"M08",5.4
"189","LNS14000000",1963,"M09",5.5
"190","LNS14000000",1963,"M10",5.5
"191","LNS14000000",1963,"M11",5.7
"192","LNS14000000",1963,"M12",5.5
"193","LNS14000000",1964,"M01",5.6
"194","LNS14000000",1964,"M02",5.4
"195","LNS14000000",1964,"M03",5.4
"196","LNS14000000",1964,"M04",5.3
"197","LNS14000000",1964,"M05",5.1
"198","LNS14000000",1964,"M06",5.2
"199","LNS14000000",1964,"M07",4.9
"200","LNS14000000",1964,"M08",5
"201","LNS14000000",1964,"M09",5.1
"202","LNS14000000",1964,"M10",5.1
"203","LNS14000000",1964,"M11",4.8
"204","LNS14000000",1964,"M12",5
"205","LNS14000000",1965,"M01",4.9
"206","LNS14000000",1965,"M02",5.1
"207","LNS14000000",1965,"M03",4.7
"208","LNS14000000",1965,"M04",4.8
"209","LNS14000000",1965,"M05",4.6
"210","LNS14000000",1965,"M06",4.6
"211","LNS14000000",1965,"M07",4.4
"212","LNS14000000",1965,"M08",4.4
"213","LNS14000000",1965,"M09",4.3
"214","LNS14000000",1965,"M10",4.2
"215","LNS14000000",1965,"M11",4.1
"216","LNS14000000",1965,"M12",4
"217","LNS14000000",1966,"M01",4
"218","LNS14000000",1966,"M02",3.8
"219","LNS14000000",1966,"M03",3.8
"220","LNS14000000",1966,"M04",3.8
"221","LNS14000000",1966,"M05",3.9
"222","LNS14000000",1966,"M06",3.8
"223","LNS14000000",1966,"M07",3.8
"224","LNS14000000",1966,"M08",3.8
"225","LNS14000000",1966,"M09",3.7
"226","LNS14000000",1966,"M10",3.7
"227","LNS14000000",1966,"M11",3.6
"228","LNS14000000",1966,"M12",3.8
"229","LNS14000000",1967,"M01",3.9
"230","LNS14000000",1967,"M02",3.8
"231","LNS14000000",1967,"M03",3.8
"232","LNS14000000",1967,"M04",3.8
"233","LNS14000000",1967,"M05",3.8
"234","LNS14000000",1967,"M06",3.9
"235","LNS14000000",1967,"M07",3.8
"236","LNS14000000",1967,"M08",3.8
"237","LNS14000000",1967,"M09",3.8
"238","LNS14000000",1967,"M10",4
"239","LNS14000000",1967,"M11",3.9
"240","LNS14000000",1967,"M12",3.8
"241","LNS14000000",1968,"M01",3.7
"242","LNS14000000",1968,"M02",3.8
"243","LNS14000000",1968,"M03",3.7
"244","LNS14000000",1968,"M04",3.5
"245","LNS14000000",1968,"M05",3.5
"246","LNS14000000",1968,"M06",3.7
"247","LNS14000000",1968,"M07",3.7
"248","LNS14000000",1968,"M08",3.5
"249","LNS14000000",1968,"M09",3.4
"250","LNS14000000",1968,"M10",3.4
"251","LNS14000000",1968,"M11",3.4
"252","LNS14000000",1968,"M12",3.4
"253","LNS14000000",1969,"M01",3.4
"254","LNS14000000",1969,"M02",3.4
"255","LNS14000000",1969,"M03",3.4
"256","LNS14000000",1969,"M04",3.4
"257","LNS14000000",1969,"M05",3.4
"258","LNS14000000",1969,"M06",3.5
"259","LNS14000000",1969,"M07",3.5
"260","LNS14000000",1969,"M08",3.5
"261","LNS14000000",1969,"M09",3.7
"262","LNS14000000",1969,"M10",3.7
"263","LNS14000000",1969,"M11",3.5
"264","LNS14000000",1969,"M12",3.5
"265","LNS14000000",1970,"M01",3.9
"266","LNS14000000",1970,"M02",4.2
"267","LNS14000000",1970,"M03",4.4
"268","LNS14000000",1970,"M04",4.6
"269","LNS14000000",1970,"M05",4.8
"270","LNS14000000",1970,"M06",4.9
"271","LNS14000000",1970,"M07",5
"272","LNS14000000",1970,"M08",5.1
"273","LNS14000000",1970,"M09",5.4
"274","LNS14000000",1970,"M10",5.5
"275","LNS14000000",1970,"M11",5.9
"276","LNS14000000",1970,"M12",6.1
"277","LNS14000000",1971,"M01",5.9
"278","LNS14000000",1971,"M02",5.9
"279","LNS14000000",1971,"M03",6
"280","LNS14000000",1971,"M04",5.9
"281","LNS14000000",1971,"M05",5.9
"282","LNS14000000",1971,"M06",5.9
"283","LNS14000000",1971,"M07",6
"284","LNS14000000",1971,"M08",6.1
"285","LNS14000000",1971,"M09",6
"286","LNS14000000",1971,"M10",5.8
"287","LNS14000000",1971,"M11",6
"288","LNS14000000",1971,"M12",6
"289","LNS14000000",1972,"M01",5.8
"290","LNS14000000",1972,"M02",5.7
"291","LNS14000000",1972,"M03",5.8
"292","LNS14000000",1972,"M04",5.7
"293","LNS14000000",1972,"M05",5.7
"294","LNS14000000",1972,"M06",5.7
"295","LNS14000000",1972,"M07",5.6
"296","LNS14000000",1972,"M08",5.6
"297","LNS14000000",1972,"M09",5.5
"298","LNS14000000",1972,"M10",5.6
"299","LNS14000000",1972,"M11",5.3
"300","LNS14000000",1972,"M12",5.2
"301","LNS14000000",1973,"M01",4.9
"302","LNS14000000",1973,"M02",5
"303","LNS14000000",1973,"M03",4.9
"304","LNS14000000",1973,"M04",5
"305","LNS14000000",1973,"M05",4.9
"306","LNS14000000",1973,"M06",4.9
"307","LNS14000000",1973,"M07",4.8
"308","LNS14000000",1973,"M08",4.8
"309","LNS14000000",1973,"M09",4.8
"310","LNS14000000",1973,"M10",4.6
"311","LNS14000000",1973,"M11",4.8
"312","LNS14000000",1973,"M12",4.9
"313","LNS14000000",1974,"M01",5.1
"314","LNS14000000",1974,"M02",5.2
"315","LNS14000000",1974,"M03",5.1
"316","LNS14000000",1974,"M04",5.1
"317","LNS14000000",1974,"M05",5.1
"318","LNS14000000",1974,"M06",5.4
"319","LNS14000000",1974,"M07",5.5
"320","LNS14000000",1974,"M08",5.5
"321","LNS14000000",1974,"M09",5.9
"322","LNS14000000",1974,"M10",6
"323","LNS14000000",1974,"M11",6.6
"324","LNS14000000",1974,"M12",7.2
"325","LNS14000000",1975,"M01",8.1
"326","LNS14000000",1975,"M02",8.1
"327","LNS14000000",1975,"M03",8.6
"328","LNS14000000",1975,"M04",8.8
"329","LNS14000000",1975,"M05",9
"330","LNS14000000",1975,"M06",8.8
"331","LNS14000000",1975,"M07",8.6
"332","LNS14000000",1975,"M08",8.4
"333","LNS14000000",1975,"M09",8.4
"334","LNS14000000",1975,"M10",8.4
"335","LNS14000000",1975,"M11",8.3
"336","LNS14000000",1975,"M12",8.2
"337","LNS14000000",1976,"M01",7.9
"338","LNS14000000",1976,"M02",7.7
"339","LNS14000000",1976,"M03",7.6
"340","LNS14000000",1976,"M04",7.7
"341","LNS14000000",1976,"M05",7.4
"342","LNS14000000",1976,"M06",7.6
"343","LNS14000000",1976,"M07",7.8
"344","LNS14000000",1976,"M08",7.8
"345","LNS14000000",1976,"M09",7.6
"346","LNS14000000",1976,"M10",7.7
"347","LNS14000000",1976,"M11",7.8
"348","LNS14000000",1976,"M12",7.8
"349","LNS14000000",1977,"M01",7.5
"350","LNS14000000",1977,"M02",7.6
"351","LNS14000000",1977,"M03",7.4
"352","LNS14000000",1977,"M04",7.2
"353","LNS14000000",1977,"M05",7
"354","LNS14000000",1977,"M06",7.2
"355","LNS14000000",1977,"M07",6.9
"356","LNS14000000",1977,"M08",7
"357","LNS14000000",1977,"M09",6.8
"358","LNS14000000",1977,"M10",6.8
"359","LNS14000000",1977,"M11",6.8
"360","LNS14000000",1977,"M12",6.4
"361","LNS14000000",1978,"M01",6.4
"362","LNS14000000",1978,"M02",6.3
"363","LNS14000000",1978,"M03",6.3
"364","LNS14000000",1978,"M04",6.1
"365","LNS14000000",1978,"M05",6
"366","LNS14000000",1978,"M06",5.9
"367","LNS14000000",1978,"M07",6.2
"368","LNS14000000",1978,"M08",5.9
"369","LNS14000000",1978,"M09",6
"370","LNS14000000",1978,"M10",5.8
"371","LNS14000000",1978,"M11",5.9
"372","LNS14000000",1978,"M12",6
"373","LNS14000000",1979,"M01",5.9
"374","LNS14000000",1979,"M02",5.9
"375","LNS14000000",1979,"M03",5.8
"376","LNS14000000",1979,"M04",5.8
"377","LNS14000000",1979,"M05",5.6
"378","LNS14000000",1979,"M06",5.7
"379","LNS14000000",1979,"M07",5.7
"380","LNS14000000",1979,"M08",6
"381","LNS14000000",1979,"M09",5.9
"382","LNS14000000",1979,"M10",6
"383","LNS14000000",1979,"M11",5.9
"384","LNS14000000",1979,"M12",6
"385","LNS14000000",1980,"M01",6.3
"386","LNS14000000",1980,"M02",6.3
"387","LNS14000000",1980,"M03",6.3
"388","LNS14000000",1980,"M04",6.9
"389","LNS14000000",1980,"M05",7.5
"390","LNS14000000",1980,"M06",7.6
"391","LNS14000000",1980,"M07",7.8
"392","LNS14000000",1980,"M08",7.7
"393","LNS14000000",1980,"M09",7.5
"394","LNS14000000",1980,"M10",7.5
"395","LNS14000000",1980,"M11",7.5
"396","LNS14000000",1980,"M12",7.2
"397","LNS14000000",1981,"M01",7.5
"398","LNS14000000",1981,"M02",7.4
"399","LNS14000000",1981,"M03",7.4
"400","LNS14000000",1981,"M04",7.2
"401","LNS14000000",1981,"M05",7.5
"402","LNS14000000",1981,"M06",7.5
"403","LNS14000000",1981,"M07",7.2
"404","LNS14000000",1981,"M08",7.4
"405","LNS14000000",1981,"M09",7.6
"406","LNS14000000",1981,"M10",7.9
"407","LNS14000000",1981,"M11",8.3
"408","LNS14000000",1981,"M12",8.5
"409","LNS14000000",1982,"M01",8.6
"410","LNS14000000",1982,"M02",8.9
"411","LNS14000000",1982,"M03",9
"412","LNS14000000",1982,"M04",9.3
"413","LNS14000000",1982,"M05",9.4
"414","LNS14000000",1982,"M06",9.6
"415","LNS14000000",1982,"M07",9.8
"416","LNS14000000",1982,"M08",9.8
"417","LNS14000000",1982,"M09",10.1
"418","LNS14000000",1982,"M10",10.4
"419","LNS14000000",1982,"M11",10.8
"420","LNS14000000",1982,"M12",10.8
"421","LNS14000000",1983,"M01",10.4
"422","LNS14000000",1983,"M02",10.4
"423","LNS14000000",1983,"M03",10.3
"424","LNS14000000",1983,"M04",10.2
"425","LNS14000000",1983,"M05",10.1
"426","LNS14000000",1983,"M06",10.1
"427","LNS14000000",1983,"M07",9.4
"428","LNS14000000",1983,"M08",9.5
"429","LNS14000000",1983,"M09",9.2
"430","LNS14000000",1983,"M10",8.8
"431","LNS14000000",1983,"M11",8.5
"432","LNS14000000",1983,"M12",8.3
"433","LNS14000000",1984,"M01",8
"434","LNS14000000",1984,"M02",7.8
"435","LNS14000000",1984,"M03",7.8
"436","LNS14000000",1984,"M04",7.7
"437","LNS14000000",1984,"M05",7.4
"438","LNS14000000",1984,"M06",7.2
"439","LNS14000000",1984,"M07",7.5
"440","LNS14000000",1984,"M08",7.5
"441","LNS14000000",1984,"M09",7.3
"442","LNS14000000",1984,"M10",7.4
"443","LNS14000000",1984,"M11",7.2
"444","LNS14000000",1984,"M12",7.3
"445","LNS14000000",1985,"M01",7.3
"446","LNS14000000",1985,"M02",7.2
"447","LNS14000000",1985,"M03",7.2
"448","LNS14000000",1985,"M04",7.3
"449","LNS14000000",1985,"M05",7.2
"450","LNS14000000",1985,"M06",7.4
"451","LNS14000000",1985,"M07",7.4
"452","LNS14000000",1985,"M08",7.1
"453","LNS14000000",1985,"M09",7.1
"454","LNS14000000",1985,"M10",7.1
"455","LNS14000000",1985,"M11",7
"456","LNS14000000",1985,"M12",7
